,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
284,İstanbul,9,35,439000,110,100,3,7,7
285,İstanbul,9,35,269999,130,120,3,0,19
286,İstanbul,9,35,499999,120,110,3,0,7
287,İstanbul,3,155,2325000,220,205,11,7,26
288,İstanbul,14,35,739000,115,102,3,0,7
289,İstanbul,9,35,539999,100,95,3,0,25
290,İstanbul,3,117,615000,100,87,3,5,13
291,İstanbul,9,128,889000,110,90,3,0,7
292,İstanbul,22,135,610000,135,120,5,3,0
293,İstanbul,3,155,1250000,210,200,11,5,26
294,İstanbul,22,62,1600000,141,95,5,7,1
295,İstanbul,9,2,1575000,140,125,3,8,24
296,İstanbul,8,144,200000000,1500,1100,13,5,23
297,İstanbul,2,56,495000,130,110,5,5,7
298,İstanbul,2,37,390000,110,100,5,5,0
299,İstanbul,14,145,450000,100,90,3,8,0
300,İstanbul,9,2,1699000,270,250,11,0,12
301,İstanbul,9,35,749900,150,140,5,0,7
302,İstanbul,9,35,529900,120,105,3,0,0
303,İstanbul,9,2,1434900,160,150,5,0,25
304,İstanbul,9,2,800000,105,90,1,6,11
305,İstanbul,9,35,659000,140,120,5,0,0
306,İstanbul,9,35,439000,110,100,3,7,7
307,İstanbul,16,124,870000,120,115,3,5,12
308,İstanbul,9,35,1950000,165,136,5,5,5
309,İstanbul,9,35,2750000,165,146,5,3,16
310,İstanbul,31,58,1250000,127,105,5,2,0
311,İstanbul,9,35,739000,115,102,3,0,7
312,İstanbul,9,35,699000,146,120,5,0,0
313,İstanbul,9,35,340000,110,100,3,7,7
314,İstanbul,9,35,439000,110,100,3,7,7
315,İstanbul,9,35,269999,130,120,3,0,19
316,İstanbul,9,35,499999,120,110,3,0,7
317,İstanbul,3,155,2325000,220,205,11,7,26
318,İstanbul,14,35,739000,115,102,3,0,7
319,İstanbul,9,35,539999,100,95,3,0,25
320,İstanbul,3,117,615000,100,87,3,5,13
321,İstanbul,9,128,889000,110,90,3,0,7
322,İstanbul,22,135,610000,135,120,5,3,0
323,İstanbul,3,155,1250000,210,200,11,5,26
324,İstanbul,22,62,1600000,141,95,5,7,1
325,İstanbul,9,2,1575000,140,125,3,8,24
326,İstanbul,8,144,200000000,1500,1100,13,5,23
327,İstanbul,2,56,495000,130,110,5,5,7
328,İstanbul,2,37,390000,110,100,5,5,0
329,İstanbul,14,145,450000,100,90,3,8,0
330,İstanbul,9,2,1699000,270,250,11,0,12
331,İstanbul,9,35,749900,150,140,5,0,7
332,İstanbul,9,35,529900,120,105,3,0,0
333,İstanbul,9,2,1434900,160,150,5,0,25
334,İstanbul,9,2,800000,105,90,1,6,11
335,İstanbul,9,35,659000,140,120,5,0,0
336,İstanbul,9,35,439000,110,100,3,7,7
337,İstanbul,16,124,870000,120,115,3,5,12
338,İstanbul,9,35,1950000,165,136,5,5,5
339,İstanbul,9,35,2750000,165,146,5,3,16
340,İstanbul,31,58,1250000,127,105,5,2,0
341,İstanbul,9,35,739000,115,102,3,0,7
342,İstanbul,9,35,699000,146,120,5,0,0
343,İstanbul,9,35,340000,110,100,3,7,7
344,İstanbul,9,35,439000,110,100,3,7,7
345,İstanbul,9,35,269999,130,120,3,0,19
346,İstanbul,9,35,499999,120,110,3,0,7
347,İstanbul,3,155,2325000,220,205,11,7,26
348,İstanbul,14,35,739000,115,102,3,0,7
349,İstanbul,9,35,539999,100,95,3,0,25
350,İstanbul,3,117,615000,100,87,3,5,13
351,İstanbul,9,128,889000,110,90,3,0,7
352,İstanbul,22,135,610000,135,120,5,3,0
353,İstanbul,3,155,1250000,210,200,11,5,26
354,İstanbul,22,62,1600000,141,95,5,7,1
355,İstanbul,9,2,1575000,140,125,3,8,24
356,İstanbul,8,144,200000000,1500,1100,13,5,23
357,İstanbul,2,56,495000,130,110,5,5,7
358,İstanbul,2,37,390000,110,100,5,5,0
359,İstanbul,14,145,450000,100,90,3,8,0
360,İstanbul,9,2,1699000,270,250,11,0,12
361,İstanbul,9,35,749900,150,140,5,0,7
362,İstanbul,9,35,529900,120,105,3,0,0
363,İstanbul,9,2,1434900,160,150,5,0,25
364,İstanbul,9,2,800000,105,90,1,6,11
365,İstanbul,9,35,659000,140,120,5,0,0
366,İstanbul,9,35,439000,110,100,3,7,7
367,İstanbul,16,124,870000,120,115,3,5,12
368,İstanbul,9,35,1950000,165,136,5,5,5
369,İstanbul,9,35,2750000,165,146,5,3,16
370,İstanbul,31,58,1250000,127,105,5,2,0
371,İstanbul,9,35,739000,115,102,3,0,7
372,İstanbul,9,35,699000,146,120,5,0,0
373,İstanbul,9,35,340000,110,100,3,7,7
374,İstanbul,9,35,439000,110,100,3,7,7
375,İstanbul,9,35,269999,130,120,3,0,19
376,İstanbul,9,35,499999,120,110,3,0,7
377,İstanbul,3,155,2325000,220,205,11,7,26
378,İstanbul,14,35,739000,115,102,3,0,7
379,İstanbul,9,35,539999,100,95,3,0,25
380,İstanbul,3,117,615000,100,87,3,5,13
381,İstanbul,9,128,889000,110,90,3,0,7
382,İstanbul,22,135,610000,135,120,5,3,0
383,İstanbul,3,155,1250000,210,200,11,5,26
384,İstanbul,22,62,1600000,141,95,5,7,1
385,İstanbul,9,2,1575000,140,125,3,8,24
386,İstanbul,8,144,200000000,1500,1100,13,5,23
387,İstanbul,2,56,495000,130,110,5,5,7
388,İstanbul,2,37,390000,110,100,5,5,0
389,İstanbul,14,145,450000,100,90,3,8,0
390,İstanbul,9,2,1699000,270,250,11,0,12
391,İstanbul,9,35,749900,150,140,5,0,7
392,İstanbul,9,35,529900,120,105,3,0,0
393,İstanbul,9,2,1434900,160,150,5,0,25
394,İstanbul,9,2,800000,105,90,1,6,11
395,İstanbul,9,35,659000,140,120,5,0,0
396,İstanbul,9,35,439000,110,100,3,7,7
397,İstanbul,16,124,870000,120,115,3,5,12
398,İstanbul,9,35,1950000,165,136,5,5,5
399,İstanbul,9,35,2750000,165,146,5,3,16
400,İstanbul,31,58,1250000,127,105,5,2,0
401,İstanbul,9,35,739000,115,102,3,0,7
402,İstanbul,9,35,699000,146,120,5,0,0
403,İstanbul,9,35,340000,110,100,3,7,7
404,İstanbul,9,35,439000,110,100,3,7,7
405,İstanbul,9,35,269999,130,120,3,0,19
406,İstanbul,9,35,499999,120,110,3,0,7
407,İstanbul,3,155,2325000,220,205,11,7,26
408,İstanbul,14,35,739000,115,102,3,0,7
409,İstanbul,9,35,539999,100,95,3,0,25
410,İstanbul,3,117,615000,100,87,3,5,13
411,İstanbul,9,128,889000,110,90,3,0,7
412,İstanbul,22,135,610000,135,120,5,3,0
413,İstanbul,3,155,1250000,210,200,11,5,26
414,İstanbul,22,62,1600000,141,95,5,7,1
415,İstanbul,9,2,1575000,140,125,3,8,24
416,İstanbul,8,144,200000000,1500,1100,13,5,23
417,İstanbul,2,56,495000,130,110,5,5,7
418,İstanbul,2,37,390000,110,100,5,5,0
419,İstanbul,14,145,450000,100,90,3,8,0
420,İstanbul,9,2,1699000,270,250,11,0,12
421,İstanbul,9,35,749900,150,140,5,0,7
422,İstanbul,9,35,529900,120,105,3,0,0
423,İstanbul,9,2,1434900,160,150,5,0,25
424,İstanbul,9,2,800000,105,90,1,6,11
425,İstanbul,9,35,659000,140,120,5,0,0
426,İstanbul,9,35,439000,110,100,3,7,7
427,İstanbul,16,124,870000,120,115,3,5,12
428,İstanbul,9,35,1950000,165,136,5,5,5
429,İstanbul,9,35,2750000,165,146,5,3,16
430,İstanbul,31,58,1250000,127,105,5,2,0
431,İstanbul,9,35,739000,115,102,3,0,7
432,İstanbul,9,35,699000,146,120,5,0,0
433,İstanbul,9,35,340000,110,100,3,7,7
434,İstanbul,9,35,439000,110,100,3,7,7
435,İstanbul,9,35,269999,130,120,3,0,19
436,İstanbul,9,35,499999,120,110,3,0,7
437,İstanbul,3,155,2325000,220,205,11,7,26
438,İstanbul,14,35,739000,115,102,3,0,7
439,İstanbul,9,35,539999,100,95,3,0,25
440,İstanbul,3,117,615000,100,87,3,5,13
441,İstanbul,9,128,889000,110,90,3,0,7
442,İstanbul,22,135,610000,135,120,5,3,0
443,İstanbul,3,155,1250000,210,200,11,5,26
444,İstanbul,22,62,1600000,141,95,5,7,1
445,İstanbul,9,2,1575000,140,125,3,8,24
446,İstanbul,8,144,200000000,1500,1100,13,5,23
447,İstanbul,2,56,495000,130,110,5,5,7
448,İstanbul,2,37,390000,110,100,5,5,0
449,İstanbul,14,145,450000,100,90,3,8,0
450,İstanbul,9,2,1699000,270,250,11,0,12
451,İstanbul,9,35,749900,150,140,5,0,7
452,İstanbul,9,35,529900,120,105,3,0,0
453,İstanbul,9,2,1434900,160,150,5,0,25
454,İstanbul,9,2,800000,105,90,1,6,11
455,İstanbul,9,35,659000,140,120,5,0,0
456,İstanbul,9,35,439000,110,100,3,7,7
457,İstanbul,16,124,870000,120,115,3,5,12
458,İstanbul,9,35,1950000,165,136,5,5,5
459,İstanbul,9,35,2750000,165,146,5,3,16
460,İstanbul,31,58,1250000,127,105,5,2,0
461,İstanbul,9,35,739000,115,102,3,0,7
462,İstanbul,9,35,699000,146,120,5,0,0
463,İstanbul,9,35,340000,110,100,3,7,7
464,İstanbul,9,35,439000,110,100,3,7,7
465,İstanbul,9,35,269999,130,120,3,0,19
466,İstanbul,9,35,499999,120,110,3,0,7
467,İstanbul,3,155,2325000,220,205,11,7,26
468,İstanbul,14,35,739000,115,102,3,0,7
469,İstanbul,9,35,539999,100,95,3,0,25
470,İstanbul,3,117,615000,100,87,3,5,13
471,İstanbul,9,128,889000,110,90,3,0,7
472,İstanbul,22,135,610000,135,120,5,3,0
473,İstanbul,3,155,1250000,210,200,11,5,26
474,İstanbul,22,62,1600000,141,95,5,7,1
475,İstanbul,9,2,1575000,140,125,3,8,24
476,İstanbul,8,144,200000000,1500,1100,13,5,23
477,İstanbul,2,56,495000,130,110,5,5,7
478,İstanbul,2,37,390000,110,100,5,5,0
479,İstanbul,14,145,450000,100,90,3,8,0
480,İstanbul,9,2,1699000,270,250,11,0,12
481,İstanbul,9,35,749900,150,140,5,0,7
482,İstanbul,9,35,529900,120,105,3,0,0
483,İstanbul,9,2,1434900,160,150,5,0,25
484,İstanbul,9,2,800000,105,90,1,6,11
485,İstanbul,9,35,659000,140,120,5,0,0
486,İstanbul,9,35,439000,110,100,3,7,7
487,İstanbul,16,124,870000,120,115,3,5,12
488,İstanbul,9,35,1950000,165,136,5,5,5
489,İstanbul,9,35,2750000,165,146,5,3,16
490,İstanbul,31,58,1250000,127,105,5,2,0
491,İstanbul,9,35,739000,115,102,3,0,7
492,İstanbul,9,35,699000,146,120,5,0,0
493,İstanbul,9,35,340000,110,100,3,7,7
494,İstanbul,9,35,439000,110,100,3,7,7
495,İstanbul,9,35,269999,130,120,3,0,19
496,İstanbul,9,35,499999,120,110,3,0,7
497,İstanbul,3,155,2325000,220,205,11,7,26
498,İstanbul,14,35,739000,115,102,3,0,7
499,İstanbul,9,35,539999,100,95,3,0,25
500,İstanbul,3,117,615000,100,87,3,5,13
501,İstanbul,9,128,889000,110,90,3,0,7
502,İstanbul,22,135,610000,135,120,5,3,0
503,İstanbul,3,155,1250000,210,200,11,5,26
504,İstanbul,22,62,1600000,141,95,5,7,1
505,İstanbul,9,2,1575000,140,125,3,8,24
506,İstanbul,8,144,200000000,1500,1100,13,5,23
507,İstanbul,2,56,495000,130,110,5,5,7
508,İstanbul,2,37,390000,110,100,5,5,0
509,İstanbul,14,145,450000,100,90,3,8,0
510,İstanbul,9,2,1699000,270,250,11,0,12
511,İstanbul,9,35,749900,150,140,5,0,7
512,İstanbul,9,35,529900,120,105,3,0,0
513,İstanbul,9,2,1434900,160,150,5,0,25
514,İstanbul,9,2,800000,105,90,1,6,11
