,Fiyat,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Toplam Tramer Tutarı
262,90000,15,6,289,1988,1,0,349,125,100,0.0
263,134500,20,93,123,2010,1,0,1461,65,221,3750.0
264,233750,25,74,88,2015,1,0,1422,90,217,0.0
265,2110000,10,100,234,2020,1,1,1999,180,82,0.0
266,162750,8,51,67,2007,0,1,1399,97,141,0.0
267,251900,20,49,133,2016,1,2,1461,110,168,1150.0
268,49750,5,97,270,1999,2,0,1372,71,236,0.0
269,203000,5,45,48,2017,1,0,1248,95,135,0.0
270,127500,25,25,182,2004,2,1,1595,102,189,0.0
271,347900,3,30,22,2021,0,1,1199,112,6,0.0
272,425000,25,98,93,2012,0,2,1201,175,138,0.0
273,57500,5,95,185,1998,2,0,1581,75,130,0.0
274,429000,20,65,26,2016,0,2,1198,130,58,0.0
275,389900,25,98,245,2013,0,2,1201,175,140,0.0
276,375750,21,61,90,2016,0,0,1395,125,100,0.0
277,624750,25,72,120,2021,0,2,1498,150,22,0.0
278,125000,5,26,178,2009,1,0,1598,105,217,0.0
279,147000,3,28,170,2014,1,0,1560,93,205,0.0
280,263750,4,87,2,2021,0,0,999,75,20,0.0
281,498000,25,72,202,2017,1,2,1598,120,118,0.0
282,233000,20,65,132,2016,1,0,1461,110,124,0.0
283,195000,6,48,86,2010,1,0,1398,70,210,0.0
284,398000,15,24,282,2014,0,2,1595,122,95,0.0
285,257000,0,13,279,2010,1,0,1968,143,252,0.0
286,395000,11,35,147,2017,1,1,1401,150,114,0.0
287,360000,25,53,29,2016,0,2,1197,110,69,2950.0
288,319000,17,21,143,2017,1,1,1598,136,209,0.0
289,410000,18,8,23,2021,0,1,1199,132,12,0.0
290,396750,7,36,134,2021,0,2,1401,125,0,0.0
291,339750,8,46,155,2018,2,0,1591,127,58,0.0
292,290000,20,38,32,2017,0,2,1197,120,29,0.0
293,488000,7,37,135,2019,0,2,1401,200,24,0.0
294,704000,1,5,258,2015,0,1,1598,170,102,0.0
295,392500,21,61,71,2016,0,2,1395,150,108,0.0
296,93000,24,40,208,1999,2,1,1598,110,250,0.0
297,310000,5,45,50,2020,1,0,1248,95,23,0.0
298,204950,20,65,124,2010,1,0,1461,105,257,0.0
299,150000,20,65,124,2006,1,0,1461,80,230,6574.0
300,317500,15,27,286,2010,2,1,1597,156,224,0.0
301,459999,20,65,126,2017,1,2,1461,110,136,0.0
302,119500,7,37,175,2002,2,0,1590,110,275,0.0
303,453000,7,37,220,2018,2,2,1401,125,37,0.0
304,395000,20,65,125,2012,1,2,1461,110,81,0.0
305,343000,21,54,91,2015,0,2,1390,180,53,0.0
306,232950,18,10,215,2012,1,2,1560,114,128,0.0
307,122500,5,62,76,2015,2,0,1368,77,203,5000.0
308,77000,17,99,150,2000,2,0,1598,100,366,0.0
309,147000,20,93,72,2011,2,0,1390,75,112,0.0
310,354000,8,102,5,2020,0,1,998,100,20,0.0
311,367500,25,53,202,2015,1,2,1598,110,96,8228.0
312,322500,20,38,8,2021,0,2,1200,100,7,0.0
313,258000,5,45,75,2020,0,0,1368,94,9,0.0
314,440000,8,46,177,2019,2,1,1591,127,5,0.0
315,639000,1,9,263,2012,1,2,1801,200,229,0.0
316,145000,5,76,291,2008,0,2,1368,95,113,1400.0
317,718000,25,72,201,2020,1,2,1598,120,24,0.0
318,1015000,7,37,246,2020,0,0,1996,320,8,0.0
319,298500,17,21,83,2019,0,0,1364,140,65,0.0
320,236000,24,22,151,2012,0,1,1598,124,100,0.0
321,226500,17,21,158,2013,0,0,1598,115,87,0.0
322,372500,25,53,29,2016,0,2,1197,110,60,0.0
323,820000,15,27,288,2017,1,1,1598,136,83,0.0
324,228000,5,45,51,2015,1,0,1248,95,82,0.0
325,45000,23,104,295,1998,2,0,1581,80,103,0.0
326,410000,26,83,190,2011,0,2,1595,180,60,621000.0
327,296000,11,35,146,2017,1,1,1401,150,145,0.0
328,236900,20,38,132,2016,1,2,1401,100,152,0.0
329,140000,25,53,211,2002,2,0,1595,105,260,0.0
330,312000,21,61,199,2016,1,2,1598,110,159,0.0
331,345000,25,56,206,2014,1,2,1401,125,168,0.0
332,242000,24,40,55,2017,0,0,1329,99,137,0.0
333,568500,1,5,256,2017,0,2,1401,150,204,0.0
334,232500,5,45,48,2019,1,0,1201,100,92,0.0
335,199250,6,50,193,2012,1,0,1560,95,199,5500.0
336,146900,4,63,129,2010,1,0,1461,70,166,0.0
337,152500,5,62,51,2015,1,0,1201,100,198,0.0
338,135000,4,63,128,2015,1,0,1461,75,275,0.0
339,149500,17,41,39,2014,1,0,1248,75,196,0.0
340,115000,18,2,105,2000,2,1,1360,76,190,0.0
341,455950,25,72,202,2016,1,2,1598,120,323,0.0
342,415000,25,53,202,2014,1,2,1598,105,96,0.0
343,340000,25,53,28,2015,2,2,1197,110,132,0.0
344,126500,25,53,152,2004,2,1,1595,102,278,0.0
345,188000,20,38,15,2013,0,0,1149,75,180,0.0
346,753000,9,77,231,2015,0,1,1801,225,72,0.0
347,305000,6,50,194,2015,1,0,1560,95,135,0.0
348,55000,24,40,214,1991,2,0,1587,95,300,0.0
349,498000,7,37,218,2018,1,1,1597,120,59,0.0
350,270000,7,18,236,2010,2,1,1998,156,295,9000.0
351,87500,18,2,104,2005,2,0,1360,76,223,1437.0
352,107000,8,51,41,2005,2,0,1341,82,292,4700.0
353,216750,8,102,60,2017,1,0,1396,90,149,4300.0
354,415000,21,61,71,2016,0,2,1395,150,128,0.0
355,100000,20,38,69,2002,2,0,1390,98,230,0.0
356,403000,25,53,202,2017,1,2,1598,115,93,0.0
357,172000,6,50,191,2010,1,0,1560,110,233,6450.0
358,409999,25,56,27,2016,0,0,1197,105,45,0.0
359,199000,17,41,68,2016,2,1,1398,90,96,0.0
360,199000,17,41,68,2016,2,1,1398,90,96,0.0
361,480000,7,37,220,2021,2,2,1401,125,15,0.0
362,205000,18,7,169,2015,1,0,1560,93,128,0.0
363,237000,20,38,16,2019,2,0,1149,75,83,0.0
364,296750,5,45,180,2018,1,2,1598,120,61,0.0
365,197000,25,74,89,2016,1,0,1422,75,157,8300.0
366,498000,15,27,285,2013,0,2,1401,175,69,0.0
367,222500,24,40,63,2010,1,0,1365,90,178,0.0
368,395000,25,98,93,2014,0,1,1201,175,134,0.0
369,245000,5,45,73,2020,0,0,1368,95,21,0.0
370,219500,20,93,127,2018,1,0,1461,90,102,0.0
371,239500,24,40,62,2011,1,0,1364,90,104,12850.0
372,40000,20,80,58,1992,2,0,1390,83,280,0.0
373,230000,25,56,207,2013,1,0,1598,105,79,0.0
374,334900,24,40,65,2018,1,2,1364,90,144,1000.0
375,1349900,0,14,280,2017,1,2,1968,190,97,0.0
376,132500,20,93,123,2010,1,0,1461,65,180,750000.0
